name	group	protein (g)	calcium (g)	sodium (g)	fiber (g)	vitaminc (g)	potassium (g)	carbohydrate (g)	sugars (g)	fat (g)	water (g)	calories	saturated (g)	monounsat (g)	polyunsat (g)	id
Bread, white, commercially prepared, toasted	Baked Products	9	0.119	0.592	2.5	0	0.131	54.4	4.74	4	30.4	293	0.578	0.796	2.09	33409
Bread, whole-wheat, commercially prepared	Baked Products	12.95	0.107	0.472	6.8	0	0.248	41.29	5.57	3.35	38.58	247	0.747	1.597	0.6	33413
Bread, whole-wheat, commercially prepared, toasted	Baked Products	16.27	0.13	0.583	9.2	0	0.326	51.16	5.77	4.07	24.25	306	0.922	1.972	0.74	33414
Bread, whole-wheat, prepared from recipe	Baked Products	8.4	0.033	0.346	6	0	0.314	51.4	3.84	5.4	32.7	278	0.796	1.158	2.939	33415
Bread, whole-wheat, prepared from recipe, toasted	Baked Products	9.2	0.036	0.381	6.7	0	0.345	56.4	4.22	5.9	26	305	0.874	1.272	3.23	33416
Breakfast tart, low fat	Baked Products	3.99	0.044	0.301	1.5	0.0038	0.066	76.8	4.87	5.99	12.04	372	1.393	3.338	0.878	33417
Cake, angelfood, dry mix	Baked Products	8.9	0.121	0.488	0.3	0	0.197	85.1	44.2	0.4	2.8	373	0.063	0.038	0.18	33420
Cake, angelfood, dry mix, prepared	Baked Products	6.1	0.084	0.511	0.2	0	0.135	58.7	30.51	0.3	32.9	257	0.043	0.026	0.124	33421
Cake, boston cream pie, commercially prepared	Baked Products	2.4	0.023	0.254	1.4	0.0002	0.039	42.9	36.11	8.5	45.4	252	2.445	4.544	1.009	33422
Cake, cherry fudge with chocolate frosting	Baked Products	2.4	0.048	0.261	1.2	0.0136	0.166	38	32.94	12.5	46.1	264	5.066	4.4	2.34	33424
Cake, chocolate, dry mix, pudding-type	Baked Products	4.6	0.133	0.893	3.5	0.0001	0.337	78.7	46.01	9.2	3.9	396	1.923	3.688	2.985	33426
Cake, chocolate, dry mix, regular	Baked Products	5.9	0.15	0.825	2.4	0	0.33	73	38.3	15.6	3.1	428	3.264	6.31	5.044	33427
Cake, fruitcake, commercially prepared	Baked Products	2.9	0.033	0.322	3.7	0.0005	0.153	61.6	29.84	9.1	25.3	324	1.048	4.2	3.323	33429
Cake, german chocolate, dry mix, pudding-type	Baked Products	4	0.097	0.813	3.5	0	0.149	80.1	49.54	9.5	3.6	401	3.205	3.781	1.823	33430
Cake, gingerbread, dry mix	Baked Products	4.4	0.094	0.657	1.7	0.0002	0.341	74.6	46.62	13.8	4.4	437	3.46	7.791	1.804	33431
Cake, marble, dry mix, pudding-type	Baked Products	3.4	0.076	0.656	2.9	0	0.123	79.3	57.59	11.7	3.1	416	2.45	4.75	3.779	33433
Cake, pound, commercially prepared, fat-free	Baked Products	5.4	0.043	0.341	1.1	0	0.11	61	34.34	1.2	31	283	0.259	0.166	0.424	33437
Cake, snack cakes, creme-filled, chocolate with frosting	Baked Products	3.63	0.116	0.332	3.2	0.0019	0.176	60.31	37.76	15.93	18.57	399	4.884	8.525	1.822	33441
Cake, snack cakes, creme-filled, sponge	Baked Products	3.47	0.024	0.512	1	0.0001	0.071	64.03	37.3	11.54	19.6	374	4.139	4.906	1.86	33442
Cake, sponge, commercially prepared	Baked Products	5.4	0.07	0.141	0.5	0	0.099	61.1	36.66	2.7	29.7	289	0.802	0.949	0.448	33444
Cake, white, dry mix, pudding-type, enriched	Baked Products	3.9	0.077	0.665	0.7	0	0.072	81	48.95	9.5	3.5	423	2.34	4.092	2.544	33446
Cake, white, dry mix, regular	Baked Products	4.5	0.192	0.664	0.9	0.0003	0.117	78	54.51	10.9	4	426	1.643	4.585	4.101	33448
Cake, white, prepared from recipe with coconut frosting	Baked Products	4.4	0.09	0.284	1	0.0001	0.099	63.2	57.39	10.3	20.7	356	3.897	3.692	2.162	33450
Cake, white, prepared from recipe without frosting	Baked Products	5.4	0.13	0.327	0.8	0.0002	0.095	57.2	35.49	12.4	23.3	357	3.269	5.309	3.148	33451
Cake, yellow, dry mix, pudding-type	Baked Products	4	0.115	0.687	0.7	0	0.063	79.9	44.21	9.8	4	423	2.472	5.496	1.295	33455
Cake, yellow, dry mix, regular, enriched	Baked Products	4.4	0.135	0.657	1.1	0.0002	0.082	78.1	43.33	11.6	3.7	432	1.738	4.86	4.378	33456
Cheesecake commercially prepared	Baked Products	5.5	0.051	0.207	0.4	0.0004	0.09	25.5	21.8	22.5	45.6	321	9.921	8.634	1.602	33459
Coffeecake, cinnamon with crumb topping, dry mix	Baked Products	4.8	0.148	0.596	1.8	0.0002	0.087	77.7	42.52	12	3.3	436	2.957	5.172	3.204	33464
Coffeecake, cinnamon with crumb topping, dry mix, prepared	Baked Products	5.5	0.136	0.421	1.2	0.0002	0.112	52.8	29.53	9.6	30.5	318	1.855	3.851	3.165	33465
Cookies, animal crackers (includes arrowroot, tea biscuits)	Baked Products	6.9	0.043	0.482	1.1	0	0.1	74.1	13.93	13.8	3.9	446	3.463	7.666	1.873	33468
Cookies, brownies, commercially prepared	Baked Products	4.8	0.029	0.257	2.1	0	0.149	63.9	36.61	16.3	13.6	405	4.235	8.965	2.259	33469
Cookies, brownies, dry mix, special dietary, prepared	Baked Products	3.8	0.012	0.094	3.7	0	0.314	71.3	0.09	11.1	13	384	5.096	4.573	0.806	33472
Cookies, butter, commercially prepared, enriched	Baked Products	6.1	0.029	0.239	0.8	0	0.111	68.9	20.24	18.8	4.6	467	11.051	5.522	0.982	33474
Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched	Baked Products	5.12	0.026	0.344	2.4	0	0.147	63.86	35.14	23.31	6.48	474	9.949	7.279	2.681	33476
Cookies, chocolate chip, commercially prepared, soft-type	Baked Products	4.9	0.02	0.272	2.4	0	0.142	65.05	37.85	20.62	8.35	454	9.949	7.279	2.681	33479
Cookies, chocolate chip, commercially prepared, special dietary	Baked Products	3.9	0.046	0.011	1.6	0	0.199	73.4	39.81	16.8	5.1	450	4.183	6.73	5.035	33480
Cookies, chocolate sandwich, with creme filling, regular	Baked Products	5.61	0.022	0.503	2.8	0	0.215	70.67	41.01	19.78	2.2	469	6.375	8.503	3.554	33486
Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated	Baked Products	3.6	0.035	0.326	5.2	0	0.24	66.1	63.4	26.4	2	481	7.426	14.584	3.001	33487
Cookies, chocolate sandwich, with creme filling, special dietary	Baked Products	4.5	0.098	0.243	4.1	0	0.295	67.7	23.53	22.1	4.2	461	3.825	9.228	7.94	33488
Cookies, chocolate sandwich, with extra creme filling	Baked Products	4.33	0.016	0.351	2.7	0	0.137	68.2	46	24.52	1.65	497	5.454	16.076	2.471	33489
Cookies, chocolate wafers	Baked Products	6.6	0.031	0.69	3.4	0	0.21	72.4	29.66	14.2	4.5	433	4.241	4.865	4.153	33490
Cookies, coconut macaroons, prepared from recipe	Baked Products	3.6	0.007	0.247	1.8	0	0.156	72.2	70.65	12.7	10.6	404	11.236	0.549	0.141	33491
Cookies, fig bars	Baked Products	3.7	0.064	0.35	4.6	0.0003	0.207	70.9	46.36	7.3	16.5	348	1.123	3.003	2.772	33492
Cookies, fortune	Baked Products	4.2	0.012	0.274	1.6	0	0.041	84	45.42	2.7	8	378	0.669	1.345	0.466	33493
Cookies, gingersnaps	Baked Products	5.6	0.077	0.558	2.2	0	0.346	76.9	19.92	9.8	5.3	416	2.451	5.365	1.372	33495
Cookies, graham crackers, chocolate-coated	Baked Products	5.8	0.058	0.257	3.1	0	0.209	66.5	41.56	23.2	2.6	484	13.38	7.687	1.038	33496
Cookies, graham crackers, plain or honey (includes cinnamon)	Baked Products	6.9	0.024	0.477	2.8	0	0.135	76.8	31.1	10.1	4.4	423	1.519	4.086	3.832	33497
Cookies, ladyfingers, with lemon juice and rind	Baked Products	10.6	0.047	0.147	1	0.0037	0.113	59.7	25.39	9.1	19.5	365	3.069	3.754	1.422	33498
Cookies, marshmallow, chocolate-coated (includes marshmallow pies)	Baked Products	4	0.046	0.168	2	0.0001	0.182	67.7	44.8	16.9	10.1	421	4.722	9.345	1.943	33500
Cookies, molasses	Baked Products	5.6	0.074	0.459	1	0	0.346	73.8	17.6	12.8	5.8	430	3.212	7.13	1.729	33501
Cookies, oatmeal, commercially prepared, fat-free	Baked Products	5.9	0.04	0.219	7.3	0	0.212	78.6	41.9	1.5	12.5	326	0.314	0.388	0.635	33502
Cookies, oatmeal, commercially prepared, regular	Baked Products	6.2	0.037	0.383	2.8	0.0005	0.142	68.7	24.66	18.1	5.7	450	4.519	10.025	2.543	33503
Cookies, oatmeal, commercially prepared, special dietary	Baked Products	4.8	0.054	0.009	2.9	0.0003	0.175	69.9	31.65	18	6.5	449	2.693	7.55	6.784	33505
Cookies, peanut butter sandwich, regular	Baked Products	8.8	0.053	0.368	1.9	0.0001	0.192	65.6	35.44	21.1	2.8	478	4.995	11.191	3.795	33511
Cookies, peanut butter, commercially prepared, regular	Baked Products	9.6	0.035	0.415	1.8	0	0.167	58.9	31.83	23.6	6.1	477	4.485	12.368	5.518	33513
Cookies, raisin, soft-type	Baked Products	4.1	0.046	0.338	1.2	0.0004	0.14	68	47.56	13.6	13.1	401	3.46	7.649	1.756	33518
Cookies, shortbread, commercially prepared, plain	Baked Products	6.1	0.035	0.455	1.8	0	0.1	64.5	15.08	24.1	3.7	502	6.106	13.42	3.233	33520
Cookies, sugar wafers with creme filling, regular	Baked Products	3.84	0.027	0.103	1.6	0	0.117	70.64	42.95	23.24	1.66	502	11.899	7.697	2.651	33521
Cookies, sugar, commercially prepared, regular (includes vanilla)	Baked Products	5.1	0.021	0.357	0.8	0.0001	0.063	67.9	37.7	21.1	4.8	478	5.435	11.836	2.66	33523
Cookies, sugar, commercially prepared, special dietary	Baked Products	4.1	0.025	0.003	0.9	0	0.104	76.8	34.17	13	5.7	431	1.872	5.243	4.755	33524
Cookies, sugar, prepared from recipe, made with margarine	Baked Products	5.9	0.073	0.491	1.2	0.0001	0.077	60	24.86	23.4	8.9	472	4.69	10.189	7.29	33525
Cookies, sugar, refrigerated dough	Baked Products	4.2	0.081	0.422	0.7	0	0.147	59	21.56	20.7	14.5	436	5.265	11.761	2.62	33526
Cookies, sugar, refrigerated dough, baked	Baked Products	4.7	0.09	0.468	0.8	0	0.163	65.6	23.96	23.1	5	484	5.906	13.01	2.891	33527
Cookies, vanilla sandwich with creme filling	Baked Products	4.5	0.027	0.349	1.5	0	0.091	72.1	39.3	20	2.2	483	2.979	8.437	7.551	33528
Cookies, vanilla wafers, lower fat	Baked Products	5	0.048	0.388	1.9	0	0.097	73.6	37.5	15.2	5.1	441	3.838	6.544	3.887	33530
Cracker meal	Baked Products	9.3	0.023	0.016	2.6	0	0.115	80.9	0.33	1.7	7.6	383	0.271	0.152	0.722	33531
Crackers, cheese, low sodium	Baked Products	10.1	0.151	0.458	2.4	0	0.106	58.2	0.28	25.3	3.1	503	9.638	11.852	2.457	33532
Crackers, cheese, regular	Baked Products	10.1	0.151	0.995	2.4	0	0.145	58.2	0.28	25.3	3.1	503	9.371	12.105	2.472	33533
Crackers, cheese, sandwich-type with peanut butter filling	Baked Products	12.41	0.05	0.913	3.4	0	0.218	56.74	6.98	25.12	3.28	496	4.406	13.003	5.093	33535
Crackers, cream, GAMESA SABROSAS	Baked Products	7.01	0.026	1.148	2.4	0	0.129	64.55	9.37	20.37	4.45	484	5.362	10.625	2.45	33536
Crackers, cream, LA MODERNA RIKIS CREAM CRACKERS	Baked Products	7.19	0.734	0.752	2.4	0	0.117	64.88	10.41	19.5	4.48	422	9.377	7.313	1.276	33537
Crackers, crispbread, rye	Baked Products	7.9	0.031	0.453	16.5	0	0.319	82.2	1.07	1.3	6.1	366	0.145	0.165	0.557	33538
Crackers, matzo, plain	Baked Products	10	0.013	0	3	0	0.112	83.7	0.29	1.4	4.3	395	0.226	0.127	0.603	33541
Crackers, melba toast, plain	Baked Products	12.1	0.093	0.598	6.3	0	0.202	76.6	0.94	3.2	5.1	390	0.445	0.782	1.282	33543
Crackers, milk	Baked Products	7.6	0.172	0.592	1.9	0.0002	0.114	69.7	16.44	15.8	4.7	455	2.633	6.479	5.749	33547
Crackers, rye, wafers, plain	Baked Products	9.6	0.04	0.557	22.9	0.0001	0.495	80.4	1.01	0.9	5	334	0.108	0.152	0.397	33550
Crackers, saltines (includes oyster, soda, soup)	Baked Products	9.5	0.021	1.116	2.9	0	0.159	74.34	2.22	8.85	4.03	421	2.001	2.247	4.068	33552
Crackers, saltines, fat-free, low-sodium	Baked Products	10.5	0.022	0.716	2.7	0	0.115	82.3	0.38	1.6	3.4	393	0.244	0.142	0.685	33553
Crackers, saltines, low salt (includes oyster, soda, soup)	Baked Products	9.5	0.119	0.198	2.9	0	0.724	74.34	2.22	8.85	4.03	421	2.001	2.247	4.068	33554
Crackers, snack, GOYA CRACKERS	Baked Products	14.25	0.016	0.665	3.8	0	0.124	64.35	2.35	13.35	5.93	433	6.323	4.697	1.536	33556
Crackers, standard snack-type, regular	Baked Products	6.6	0.095	0.865	2.1	0	0.111	61.37	7.45	25.83	3.46	504	5.4	6.652	12.597	33557
Crackers, standard snack-type, regular, low salt	Baked Products	7.4	0.12	0.216	1.6	0	0.355	61	1.79	25.3	3.5	502	3.776	10.64	9.545	33558
Crackers, standard snack-type, sandwich, with cheese filling	Baked Products	9.3	0.257	0.888	1.9	0.0001	0.429	61.7	3.18	21.1	3.9	477	6.125	11.254	2.567	33559
Crackers, standard snack-type, sandwich, with peanut butter filling	Baked Products	11.47	0.081	0.901	2.3	0	0.215	58.38	10.5	24.54	2.93	494	4.913	13.776	4.655	33560
Crackers, wheat, low salt	Baked Products	8.6	0.049	0.19	4.5	0	0.203	64.9	13.04	20.6	3.1	473	5.178	11.448	2.796	33561
Crackers, wheat, reduced fat	Baked Products	9.34	0.08	0.866	3.4	0	0.21	71.52	15.01	13.37	2.73	444	2.112	3.295	7.055	33562
Crackers, wheat, regular	Baked Products	8.95	0.081	0.918	3.7	0	0.207	67.35	13.8	17.36	3.18	456	2.73	4.297	9.225	33563
Crackers, whole-wheat	Baked Products	10.58	0.036	0.704	10.3	0	0.345	69.55	1.19	14.13	2.94	427	2.063	3.248	6.945	33566
Crackers, whole-wheat, low salt	Baked Products	8.8	0.05	0.186	10.5	0	0.297	68.6	0.37	17.2	2.7	443	3.393	5.88	6.596	33567
Crackers, whole-wheat, reduced fat	Baked Products	11.34	0.039	0.745	10.9	0	0.373	75.52	1.22	7.59	2.59	416	1.067	1.609	3.568	33568
Cream puffs, prepared from recipe, shell (includes eclair)	Baked Products	9	0.036	0.557	0.8	0	0.097	22.8	0.43	25.9	40.5	362	5.599	11.128	7.38	33569
Cream puffs, prepared from recipe, shell, with custard filling	Baked Products	6.7	0.066	0.341	0.4	0.0003	0.115	22.9	9.49	15.5	53.5	258	3.679	6.527	4.156	33570
Croissants, butter	Baked Products	8.2	0.037	0.347	2.6	0.0002	0.118	45.8	11.26	21	23.2	406	11.659	5.525	1.094	33572
Croissants, cheese	Baked Products	9.2	0.053	0.361	2.6	0.0002	0.132	47	11.35	20.9	21	414	10.628	6.509	2.384	33573
Croutons, seasoned	Baked Products	10.8	0.096	1.089	5	0	0.181	63.5	4.41	18.3	3.6	465	5.247	9.498	2.368	33575
Danish pastry, cheese	Baked Products	8	0.035	0.322	1	0.0001	0.098	37.2	6.95	21.9	31.4	374	6.794	11.313	2.575	33576
Danish pastry, cinnamon, enriched	Baked Products	7	0.071	0.371	1.3	0.0001	0.125	44.6	19.78	22.4	24.3	403	5.681	12.515	2.933	33577
Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)	Baked Products	5.4	0.046	0.354	1.9	0.0039	0.083	47.8	27.53	18.5	27.1	371	4.86	10.026	2.364	33579
Danish pastry, nut (includes almond, raisin nut, cinnamon nut)	Baked Products	7.1	0.094	0.298	2	0.0017	0.095	45.7	25.87	25.2	20.4	430	5.821	13.685	4.281	33582
Doughnuts, cake-type, chocolate, sugared or glazed	Baked Products	4.5	0.213	0.397	2.2	0.0001	0.106	57.4	31.92	19.9	16.3	417	5.132	11.278	2.477	33584
Doughnuts, cake-type, plain (includes unsugared, old-fashioned)	Baked Products	5.87	0.025	0.557	1.6	0.0013	0.113	45.63	16.28	23.55	22.88	418	7.127	12.732	2.659	33585
Doughnuts, cake-type, plain, chocolate-coated or frosted	Baked Products	4.93	0.024	0.326	1.9	0.0013	0.201	51.33	26.65	25.25	16.76	452	13.47	8.618	1.96	33586
Doughnuts, cake-type, wheat, sugared or glazed	Baked Products	6.3	0.049	0.427	2.2	0.0002	0.148	42.6	21.58	19.3	29.8	360	3.023	8.101	7.077	33588
Doughnuts, french crullers, glazed	Baked Products	3.1	0.026	0.345	1.2	0	0.078	59.5	35.11	18.3	17.9	412	4.667	10.446	2.285	33589
Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)	Baked Products	6.21	0.046	0.316	2.1	0.0012	0.1	50.64	19.52	19.1	22.6	399	5.44	9.96	2.864	33590
Doughnuts, yeast-leavened, with creme filling	Baked Products	6.4	0.025	0.309	0.8	0	0.08	30	14.55	24.5	38.2	361	5.43	12.08	3.082	33592
Doughnuts, yeast-leavened, with jelly filling	Baked Products	5.9	0.025	0.24	0.9	0	0.079	39	21.1	18.7	35.6	340	4.843	10.226	2.377	33593
Eclairs, custard-filled with chocolate glaze, prepared from recipe	Baked Products	6.4	0.063	0.337	0.6	0.0003	0.117	24.2	6.6	15.7	52.4	262	4.119	6.484	3.948	33594
English muffins, mixed-grain (includes granola)	Baked Products	9.1	0.196	0.334	2.8	0	0.156	46.3	0.81	1.8	40.2	235	0.23	0.827	0.559	33595
English muffins, mixed-grain, toasted (includes granola)	Baked Products	9.9	0.213	0.453	3	0	0.169	50.3	0.88	1.9	35	255	0.25	0.899	0.608	33596
English muffins, plain, enriched, with ca prop (includes sourdough)	Baked Products	8.87	0.163	0.362	3.5	0.0018	0.109	44.17	3.53	1.69	43.56	227	0.733	0.383	0.498	33597
English muffins, plain, toasted, enriched, with calcium propionate (includes sourdough)	Baked Products	10.32	0.197	0.477	2.8	0.0017	0.129	52.65	3.47	2.02	32.97	270	0.533	0.478	0.921	33599
English muffins, raisin-cinnamon (includes apple-cinnamon)	Baked Products	7.91	0.114	0.277	2.6	0.0013	0.173	48.1	14.76	1.8	40.6	240	0.54	0.846	0.339	33602
English muffins, raisin-cinnamon, toasted (includes apple-cinnamon)	Baked Products	8.87	0.139	0.369	3	0.0014	0.194	55.04	13.34	2.21	32.07	276	0.579	1.065	0.469	33603
English muffins, wheat	Baked Products	8.7	0.178	0.382	4.6	0	0.186	44.8	1.56	2	42.3	223	0.287	0.28	0.834	33604
English muffins, wheat, toasted	Baked Products	9.4	0.193	0.415	5	0	0.202	48.7	1.7	2.1	37.2	243	0.312	0.305	0.906	33605
English muffins, whole-wheat	Baked Products	8.8	0.265	0.364	6.7	0	0.21	40.4	8.09	2.1	45.7	203	0.334	0.513	0.835	33606
English muffins, whole-wheat, toasted	Baked Products	9.6	0.288	0.692	7.3	0	0.228	44.1	8.79	2.3	41	221	0.363	0.557	0.908	33607
HEINZ, WEIGHT WATCHER, Chocolate Eclair, frozen	Baked Products	4.4	0.048	0.3	2.1	0	0	40.3	16.8	6.9	47.3	241	1.4	2	2.9	33613
Hush puppies, prepared from recipe	Baked Products	7.7	0.278	0.668	2.8	0.0002	0.144	46	2.03	13.5	29	337	2.108	3.263	7.219	33614
INTERSTATE BRANDS CORP, WONDER Hamburger Rolls	Baked Products	8.07	0.087	0.488	2.6	0	0	50.84	11.06	4.15	34.2	273	1.013	0.848	2.177	33615
Ice cream cones, cake or wafer-type	Baked Products	8.1	0.025	0.256	3	0	0.112	79	6	6.9	5.3	417	1.222	1.845	3.264	33616
Ice cream cones, sugar, rolled-type	Baked Products	7.9	0.044	0.251	1.7	0	0.145	84.1	25.66	3.8	3	402	0.573	1.47	1.452	33617
KELLOGG'S Eggo Golden Oat Waffles	Baked Products	6.83	0.066	0.385	3.5	0.0008	0.191	37.52	3.47	3.22	50.6	198	0.6	1.067	1.067	33620
KELLOGG'S Eggo Lowfat Blueberry Nutri-Grain Waffles	Baked Products	5.95	0.061	0.591	3.5	0	0.068	42.71	8.89	2.83	46.06	208	0.41	1.15	0.8	33621
KELLOGG'S Eggo Lowfat Homestyle Waffles	Baked Products	7.06	0.058	0.442	1	0	0.143	44.15	2.92	3.56	43.44	236	0.9	1	1.07	33622
KELLOGG'S Eggo Lowfat Nutri-Grain Waffles	Baked Products	6.28	0.061	0.559	3.7	0	0.072	40.27	5.73	3.2	47.75	203	0.47	1.34	0.9	33623
KELLOGG'S Pop-Tarts Pastry Swirls, Apple Cinnamon Danish	Baked Products	4.8	0.032	0.306	1.4	0	0	59.7	17.7	17.7	16.8	413	4.8	5.8	7.1	33624
KELLOGG'S Pop-Tarts Pastry Swirls, Cheese Danish	Baked Products	4.8	0.064	0.29	0.5	0	0	59.1	19.4	17.7	16.85	407	4.8	5.8	7.1	33625
KELLOGG'S Pop-Tarts Pastry Swirls, Strawberry Danish	Baked Products	4.8	0.032	0.274	1.8	0	0	60	25.8	17.7	16.32	410	4.8	5.8	7.1	33626
KELLOGG, KELLOG'S NUTRI-GRAIN CEREAL BARS, Mixed Berry	Baked Products	4.3	0.039	0.284	1.9	0	0.188	72.8	33.6	7.6	14.5	370	1.5	5	1.1	33627
KELLOGG, KELLOGG'S EGGO, Banana Bread Waffles	Baked Products	6.8	0.051	0.359	2.5	0.0014	0.18	41.6	6.7	9.5	41.2	272	1.71	5.28	2.51	33628
KELLOGG, KELLOGG'S EGGO, Buttermilk Pancake	Baked Products	6	0.035	0.508	1.1	0.0014	0.103	38.1	8.2	6.69	47.2	233	1.44	2.94	2.13	33629
KELLOGG, KELLOGG'S LOW FAT POP TARTS, Frosted brown sugar cinnamon	Baked Products	4.7	0.014	0.419	1.2	0	0.061	78.3	36.2	5.5	10.5	376	1.2	2.9	1.3	33630
KELLOGG, KELLOGG'S LOW FAT POP TARTS, Frosted chocolate fudge	Baked Products	5.1	0.026	0.478	1.1	0	0.119	76	36.2	5.8	12.5	366	1	2.4	1.7	33631
KELLOGG, KELLOGG'S LOW FAT POP TARTS, Frosted strawberry	Baked Products	4.1	0.01	0.387	1.1	0	0.049	77.5	39.9	5.8	12.5	367	1.1	2.7	2	33632
KELLOGG, KELLOGG'S LOW FAT POP TARTS, Strawberry	Baked Products	4.5	0.011	0.35	1.2	0	0.054	76.6	35.8	5.5	12.5	369	1.2	2.9	1.3	33633
Muffin, blueberry, commercially prepared, low-fat	Baked Products	4.23	0.035	0.413	4.2	0.0009	0.096	50.05	27.05	4.22	39.94	255	1.549	0.86	1.363	33648
Muffins, blueberry, commercially prepared (Includes mini-muffins)	Baked Products	5.28	0.035	0.349	1.7	0.0009	0.096	49.54	27.05	19.24	24.61	393	3.549	5.152	9.703	33649
Muffins, blueberry, toaster-type	Baked Products	4.6	0.013	0.247	1.8	0	0.083	53.3	4.85	9.5	30.8	313	1.398	2.162	5.351	33652
Muffins, blueberry, toaster-type, toasted	Baked Products	4.9	0.014	0.509	1.9	0	0.088	56.7	12.95	10.1	26.4	333	1.551	2.371	5.477	33653
Muffins, corn, commercially prepared	Baked Products	5.9	0.074	0.64	3.4	0	0.069	50.9	7.5	8.4	32.6	305	1.354	2.104	3.215	33654
Muffins, oat bran	Baked Products	7	0.063	0.393	4.6	0	0.507	48.3	8.22	7.4	35	270	1.087	1.695	4.129	33658
Muffins, wheat bran, toaster-type with raisins	Baked Products	5.2	0.037	0.495	7.7	0	0.166	52.2	13.98	8.8	31.4	295	1.357	2.036	4.822	33661
Muffins, wheat bran, toaster-type with raisins, toasted	Baked Products	5.5	0.039	0.527	8.2	0	0.177	55.5	23.07	9.4	27	313	1.5	2.221	4.918	33662
NABISCO, NABISCO GRAHAMS Crackers	Baked Products	6.99	0.079	0.659	3.4	0	0.177	76.2	23	10	3.6	424	1.56	3.6	0.46	33663
NABISCO, NABISCO OREO CRUNCHIES, Cookie Crumb Topping	Baked Products	4.78	0.024	0.528	3.2	0	0.194	70.23	36	21.5	1.57	476	4.14	3.17	0.82	33664
NABISCO, NABISCO RITZ Crackers	Baked Products	7.23	0.154	0.882	2.3	0	0.119	63.51	8.14	23.21	3.12	492	5.45	6.276	10.896	33665
NABISCO, NABISCO SNACKWELL'S Fat Free Devil's Food Cookie Cakes	Baked Products	5	0.03	0.174	1.6	0.0001	0.111	74.25	43.38	1.09	17.65	305	0.427	0.246	0.196	33666
PILLSBURY, Chocolate Chip Cookies, refrigerated dough	Baked Products	3.57	0	0.304	2.1	0	0	60.71	35.71	25	8.93	482	7.143	9.063	1.828	33670
Pancakes plain, frozen, ready-to-heat (includes buttermilk)	Baked Products	5.33	0.071	0.505	2.4	0.0003	0.124	39.29	9.73	5.17	48.22	225	0.81	1.891	1.081	33675
Pancakes, buckwheat, dry mix, incomplete	Baked Products	10.9	0.476	0.767	8.5	0	0.316	71.3	7.21	2.7	9.1	340	0.439	0.581	1	33677
Pancakes, plain, dry mix, incomplete (includes buttermilk)	Baked Products	10	0.342	1.089	5.4	0	0.191	73.6	2.21	1.7	9.1	355	0.25	0.324	0.726	33681
Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)	Baked Products	5.88	0.072	0.566	2.5	0	0.122	43.33	7.06	4.73	43.8	239	0.949	2.721	1.07	33683
Pastry, Pastelitos de Guava (guava pastries)	Baked Products	5.48	0.014	0.231	2.2	0	0.103	47.76	17	18.5	27.26	379	5.535	8.543	2.835	33688
Phyllo dough	Baked Products	7.1	0.011	0.483	1.9	0	0.074	52.6	0.18	6	32.6	299	1.47	3.149	0.923	33689
Pie Crust, Cookie-type, Chocolate, Ready Crust	Baked Products	6.08	0.032	0.503	2.7	0	0.187	64.48	26.31	22.42	4.99	484	4.725	14.501	2.035	33690
Pie Crust, Cookie-type, Graham Cracker, Ready Crust	Baked Products	5.1	0.029	0.33	1.9	0	0.113	64.3	18.13	24.83	4.37	501	4.999	16.928	1.671	33691
Pie crust, cookie-type, prepared from recipe, chocolate wafer, chilled	Baked Products	5.1	0.03	0.672	1.5	0	0.168	54.4	22.1	31.1	7.3	506	6.732	14.729	7.713	33692
Pie crust, cookie-type, prepared from recipe, graham cracker, baked	Baked Products	4.2	0.021	0.571	1.5	0	0.088	65.2	38.34	24.9	4.2	494	5.196	11.37	6.908	33693
Pie crust, cookie-type, prepared from recipe, graham cracker, chilled	Baked Products	4.1	0.02	0.56	1.5	0	0.086	63.9	37.57	24.4	6.1	484	5.092	11.142	6.769	33694
Pie crust, cookie-type, prepared from recipe, vanilla wafer, chilled	Baked Products	3.7	0.042	0.515	0.1	0.0001	0.079	50.2	7.33	36.2	8.5	531	7.434	15.647	10.682	33695
Pie crust, standard-type, frozen, ready-to-bake, enriched, baked	Baked Products	6.5	0.021	0.467	3.3	0	0.114	56.24	4.23	28.59	7.18	508	9.277	13.562	3.568	33703
Pie crust, standard-type, prepared from recipe, baked	Baked Products	6.4	0.01	0.542	1.7	0	0.067	47.5	0.17	34.6	9.8	527	8.622	15.169	9.122	33705
Pie crust, standard-type, prepared from recipe, unbaked	Baked Products	5.7	0.009	0.482	3.4	0	0.059	42.3	0.15	30.8	19.7	469	7.674	13.5	8.119	33706
Pie, Dutch Apple, Commercially Prepared	Baked Products	2.17	0.014	0.2	1.6	0.0057	0.076	44.54	22.02	11.5	41.09	290	2.313	5.797	2.117	33707
Pie, apple, commercially prepared, enriched flour	Baked Products	1.9	0.011	0.201	1.6	0.0032	0.065	34	15.65	11	52.2	237	3.797	4.388	2.198	33708
